49 98
1 -2.000000e+00 0.000000e+00 0.000000e+00
2 -5.000000e-01 0.000000e+00 0.000000e+00
3 -1.879385e+00 6.840403e-01 0.000000e+00
4 -1.532089e+00 1.285575e+00 0.000000e+00
5 -1.000000e+00 1.732051e+00 0.000000e+00
6 -3.472964e-01 1.969616e+00 0.000000e+00
7 3.472964e-01 1.969616e+00 0.000000e+00
8 1.000000e+00 1.732051e+00 0.000000e+00
9 1.532089e+00 1.285575e+00 0.000000e+00
10 1.879385e+00 6.840403e-01 0.000000e+00
11 2.000000e+00 2.449294e-16 0.000000e+00
12 1.879385e+00 -6.840403e-01 0.000000e+00
13 1.532089e+00 -1.285575e+00 0.000000e+00
14 1.000000e+00 -1.732051e+00 0.000000e+00
15 3.472964e-01 -1.969616e+00 0.000000e+00
16 -3.472964e-01 -1.969616e+00 0.000000e+00
17 -1.000000e+00 -1.732051e+00 0.000000e+00
18 -1.532089e+00 -1.285575e+00 0.000000e+00
19 -1.879385e+00 -6.840403e-01 0.000000e+00
20 -1.545085e-01 4.755283e-01 0.000000e+00
21 4.045085e-01 2.938926e-01 0.000000e+00
22 4.045085e-01 -2.938926e-01 0.000000e+00
23 -1.545085e-01 -4.755283e-01 0.000000e+00
24 -1.378738e+00 -3.475388e-01 0.000000e+00
25 1.380256e+00 -3.275676e-01 0.000000e+00
26 5.443904e-01 -1.401200e+00 0.000000e+00
27 -5.512810e-01 -1.417031e+00 0.000000e+00
28 -6.035797e-01 7.149845e-01 0.000000e+00
29 6.927307e-01 7.978345e-01 0.000000e+00
30 1.522461e+00 2.740168e-01 0.000000e+00
31 1.465104e+00 -8.222782e-01 0.000000e+00
32 1.002857e+00 -9.644220e-01 0.000000e+00
33 -1.521977e+00 2.593481e-01 0.000000e+00
34 -1.006500e+00 -9.881304e-01 0.000000e+00
35 -1.464295e+00 -8.293477e-01 0.000000e+00
36 -5.515255e-03 -1.432337e+00 0.000000e+00
37 -3.535426e-01 -9.288073e-01 0.000000e+00
38 -7.297205e-01 -4.158320e-01 0.000000e+00
39 3.150621e-01 -8.396429e-01 0.000000e+00
40 7.475525e-01 -3.168065e-01 0.000000e+00
41 -1.006783e+00 1.738179e-01 0.000000e+00
42 -1.263307e+00 7.388481e-01 0.000000e+00
43 -9.517388e-01 1.199293e+00 0.000000e+00
44 -3.027707e-01 1.405745e+00 0.000000e+00
45 1.006933e+00 2.492891e-01 0.000000e+00
46 1.277331e+00 7.616980e-01 0.000000e+00
47 4.514351e-01 1.340339e+00 0.000000e+00
48 9.892927e-01 1.203923e+00 0.000000e+00
49 6.937714e-02 8.435491e-01 0.000000e+00
1 102 1 3 
2 102 3 4 
3 102 4 5 
4 102 5 6 
5 102 6 7 
6 102 7 8 
7 102 8 9 
8 102 9 10 
9 102 10 11 
10 102 11 12 
11 102 12 13 
12 102 13 14 
13 102 14 15 
14 102 15 16 
15 102 16 17 
16 102 17 18 
17 102 18 19 
18 102 19 1 
19 102 2 20 
20 102 20 21 
21 102 21 22 
22 102 22 23 
23 102 23 2 
24 203 10 30 11 
25 203 30 25 11 
26 203 32 31 25 
27 203 32 26 14 
28 203 12 31 13 
29 203 31 32 13 
30 203 14 13 32 
31 203 26 15 14 
32 203 31 12 25 
33 203 11 25 12 
34 203 1 33 3 
35 203 33 1 24 
36 203 19 24 1 
37 203 35 34 24 
38 203 17 27 34 
39 203 35 18 34 
40 203 34 18 17 
41 203 18 35 19 
42 203 35 24 19 
43 203 36 27 16 
44 203 27 17 16 
45 203 26 36 15 
46 203 36 16 15 
47 203 37 34 27 
48 203 38 24 34 
49 203 34 37 38 
50 203 2 20 28 
51 203 38 37 23 
52 203 37 39 23 
53 203 32 39 26 
54 203 40 22 39 
55 203 25 40 32 
56 203 39 32 40 
57 203 36 26 39 
58 203 27 36 37 
59 203 39 37 36 
60 203 41 33 24 
61 203 28 42 41 
62 203 42 4 3 
63 203 33 42 3 
64 203 33 41 42 
65 203 44 43 28 
66 203 43 44 5 
67 203 5 44 6 
68 203 42 28 43 
69 203 30 45 25 
70 203 43 5 4 
71 203 42 43 4 
72 203 46 29 45 
73 203 45 30 46 
74 203 46 30 10 
75 203 48 47 29 
76 203 48 8 47 
77 203 44 47 7 
78 203 7 47 8 
79 203 48 9 8 
80 203 29 46 48 
81 203 7 6 44 
82 203 48 46 9 
83 203 46 10 9 
84 203 49 29 47 
85 203 28 49 44 
86 203 47 44 49 
87 203 40 25 45 
88 203 45 29 21 
89 203 29 49 21 
90 203 45 21 40 
91 203 23 39 22 
92 203 40 21 22 
93 203 24 38 41 
94 203 28 41 2 
95 203 41 38 2 
96 203 38 23 2 
97 203 21 49 20 
98 203 49 28 20 
