49 96
1 6.661338e-16 0.000000e+00 0.000000e+00
2 2.000000e+00 0.000000e+00 0.000000e+00
3 2.000000e+00 2.000000e+00 0.000000e+00
4 6.661338e-16 2.000000e+00 0.000000e+00
5 5.000000e-01 0.000000e+00 0.000000e+00
6 1.000000e+00 0.000000e+00 0.000000e+00
7 1.500000e+00 0.000000e+00 0.000000e+00
8 2.000000e+00 5.000000e-01 0.000000e+00
9 2.000000e+00 1.000000e+00 0.000000e+00
10 2.000000e+00 1.500000e+00 0.000000e+00
11 1.500000e+00 2.000000e+00 0.000000e+00
12 1.000000e+00 2.000000e+00 0.000000e+00
13 5.000000e-01 2.000000e+00 0.000000e+00
14 6.661338e-16 1.500000e+00 0.000000e+00
15 6.661338e-16 1.000000e+00 0.000000e+00
16 6.661338e-16 5.000000e-01 0.000000e+00
17 1.727503e+00 7.685600e-01 0.000000e+00
18 2.723952e-01 7.686865e-01 0.000000e+00
19 6.827970e-01 2.199115e-01 0.000000e+00
20 1.317052e+00 2.199344e-01 0.000000e+00
21 1.000032e+00 7.795310e-01 0.000000e+00
22 1.358670e+00 1.400569e+00 0.000000e+00
23 6.405957e-01 1.401470e+00 0.000000e+00
24 1.970923e-01 1.153281e+00 0.000000e+00
25 2.042257e-01 3.895877e-01 0.000000e+00
26 4.829264e-01 4.676256e-01 0.000000e+00
27 3.597583e-01 2.082072e-01 0.000000e+00
28 1.802692e+00 1.153035e+00 0.000000e+00
29 1.518375e+00 4.680755e-01 0.000000e+00
30 1.794645e+00 3.900824e-01 0.000000e+00
31 1.640299e+00 2.083817e-01 0.000000e+00
32 1.000021e+00 2.615989e-01 0.000000e+00
33 1.174000e+00 4.870693e-01 0.000000e+00
34 1.360555e+00 7.798624e-01 0.000000e+00
35 8.257242e-01 4.882823e-01 0.000000e+00
36 6.395558e-01 7.799751e-01 0.000000e+00
37 1.528148e+00 1.100878e+00 0.000000e+00
38 1.677231e+00 1.422089e+00 0.000000e+00
39 1.756799e+00 1.718013e+00 0.000000e+00
40 1.509392e+00 1.655954e+00 0.000000e+00
41 1.196209e+00 1.700133e+00 0.000000e+00
42 4.715561e-01 1.101233e+00 0.000000e+00
43 3.218771e-01 1.423248e+00 0.000000e+00
44 8.013290e-01 1.700917e+00 0.000000e+00
45 4.865465e-01 1.657183e+00 0.000000e+00
46 2.437124e-01 1.717999e+00 0.000000e+00
47 9.995450e-01 1.401815e+00 0.000000e+00
48 8.201628e-01 1.092906e+00 0.000000e+00
49 1.179912e+00 1.092726e+00 0.000000e+00
1 102 1 5 
2 102 5 6 
3 102 6 7 
4 102 7 2 
5 102 2 8 
6 102 8 9 
7 102 9 10 
8 102 10 3 
9 102 3 11 
10 102 11 12 
11 102 12 13 
12 102 13 4 
13 102 4 14 
14 102 14 15 
15 102 15 16 
16 102 16 1 
17 203 14 24 15 
18 203 24 18 15 
19 203 26 25 18 
20 203 1 16 25 
21 203 19 27 26 
22 203 25 26 27 
23 203 27 19 5 
24 203 1 27 5 
25 203 25 27 1 
26 203 25 16 18 
27 203 15 18 16 
28 203 28 9 17 
29 203 8 17 9 
30 203 30 29 17 
31 203 31 20 29 
32 203 29 30 31 
33 203 6 20 7 
34 203 7 31 2 
35 203 20 31 7 
36 203 30 8 2 
37 203 2 31 30 
38 203 30 17 8 
39 203 19 32 6 
40 203 33 29 20 
41 203 6 5 19 
42 203 32 20 6 
43 203 34 17 29 
44 203 21 34 33 
45 203 29 33 34 
46 203 26 35 19 
47 203 36 21 35 
48 203 18 36 26 
49 203 35 26 36 
50 203 33 35 21 
51 203 32 19 35 
52 203 20 32 33 
53 203 35 33 32 
54 203 37 28 17 
55 203 38 10 28 
56 203 22 38 37 
57 203 28 37 38 
58 203 10 39 3 
59 203 41 40 22 
60 203 11 41 12 
61 203 40 11 39 
62 203 40 41 11 
63 203 3 39 11 
64 203 38 22 40 
65 203 40 39 38 
66 203 9 28 10 
67 203 38 39 10 
68 203 24 42 18 
69 203 43 23 42 
70 203 42 24 43 
71 203 45 44 23 
72 203 45 13 44 
73 203 12 44 13 
74 203 4 46 14 
75 203 4 13 46 
76 203 45 46 13 
77 203 23 43 45 
78 203 43 24 14 
79 203 46 43 14 
80 203 46 45 43 
81 203 47 23 44 
82 203 41 44 12 
83 203 22 47 41 
84 203 44 41 47 
85 203 48 42 23 
86 203 36 18 42 
87 203 21 36 48 
88 203 42 48 36 
89 203 37 49 22 
90 203 34 21 49 
91 203 17 34 37 
92 203 49 37 34 
93 203 48 49 21 
94 203 47 22 49 
95 203 23 47 48 
96 203 49 48 47 
