30 58
1 0.000000e+00 2.000000e+00 0.000000e+00
2 0.000000e+00 1.000000e+00 0.000000e+00
3 1.000000e+00 3.061617e-17 0.000000e+00
4 2.000000e+00 1.224647e-16 0.000000e+00
5 0.000000e+00 1.500000e+00 0.000000e+00
6 5.000000e-01 8.660254e-01 0.000000e+00
7 8.660254e-01 5.000000e-01 0.000000e+00
8 1.500000e+00 6.123234e-17 0.000000e+00
9 6.180340e-01 1.902113e+00 0.000000e+00
10 1.175571e+00 1.618034e+00 0.000000e+00
11 1.618034e+00 1.175571e+00 0.000000e+00
12 1.902113e+00 6.180340e-01 0.000000e+00
13 1.594234e+00 7.980558e-01 0.000000e+00
14 1.383817e+00 2.161310e-01 0.000000e+00
15 9.864767e-01 7.924771e-01 0.000000e+00
16 6.093941e-01 1.403455e+00 0.000000e+00
17 2.348819e-01 1.184192e+00 0.000000e+00
18 1.527677e+00 4.960582e-01 0.000000e+00
19 1.672033e+00 2.486406e-01 0.000000e+00
20 1.189110e+00 4.514407e-01 0.000000e+00
21 1.340644e+00 7.648386e-01 0.000000e+00
22 1.455720e+00 9.673847e-01 0.000000e+00
23 4.757802e-01 1.187406e+00 0.000000e+00
24 3.018521e-01 1.435270e+00 0.000000e+00
25 7.550121e-01 1.611033e+00 0.000000e+00
26 4.061340e-01 1.679270e+00 0.000000e+00
27 1.659869e-01 1.661380e+00 0.000000e+00
28 9.175740e-01 1.375292e+00 0.000000e+00
29 7.857054e-01 1.116833e+00 0.000000e+00
30 1.190466e+00 1.112667e+00 0.000000e+00
1 102 1 5 
2 102 5 2 
3 102 2 6 
4 102 6 7 
5 102 7 3 
6 102 3 8 
7 102 8 4 
8 102 1 9 
9 102 9 10 
10 102 10 11 
11 102 11 12 
12 102 12 4 
13 203 5 17 2 
14 203 13 12 18 
15 203 8 14 19 
16 203 12 4 19 
17 203 8 19 4 
18 203 18 19 14 
19 203 3 14 8 
20 203 19 18 12 
21 203 20 18 14 
22 203 3 7 20 
23 203 21 13 18 
24 203 15 21 20 
25 203 18 20 21 
26 203 15 7 6 
27 203 20 14 3 
28 203 6 29 15 
29 203 15 20 7 
30 203 13 22 11 
31 203 11 12 13 
32 203 11 22 30 
33 203 6 2 17 
34 203 24 16 23 
35 203 23 17 24 
36 203 26 25 16 
37 203 10 25 9 
38 203 25 26 9 
39 203 26 27 1 
40 203 1 9 26 
41 203 16 24 26 
42 203 24 17 5 
43 203 1 27 5 
44 203 27 24 5 
45 203 27 26 24 
46 203 28 16 25 
47 203 28 25 10 
48 203 29 23 16 
49 203 17 23 6 
50 203 23 29 6 
51 203 11 30 10 
52 203 21 15 30 
53 203 13 21 22 
54 203 30 22 21 
55 203 29 30 15 
56 203 28 10 30 
57 203 16 28 29 
58 203 30 29 28 
