44 86
1 -3.855000e-02 -5.302155e-24 1.348840e-17
2 -3.523085e-02 -7.761702e-03 1.210224e-17
3 -3.523085e-02 -1.136809e-02 1.226878e-17
4 -3.417721e-02 -1.242128e-02 1.218551e-17
5 -2.118830e-02 -1.242128e-02 6.939705e-18
6 -2.042710e-02 -8.814894e-03 6.797911e-18
7 -1.812447e-02 -8.297872e-03 6.051526e-18
8 -1.812447e-02 8.297872e-03 6.051526e-18
9 -2.042710e-02 8.814894e-03 6.797911e-18
10 -2.118830e-02 1.242128e-02 6.939705e-18
11 -3.417721e-02 1.242128e-02 1.218551e-17
12 -3.523085e-02 1.136809e-02 1.226878e-17
13 -3.523085e-02 7.761702e-03 1.210224e-17
14 -2.768276e-02 -1.242128e-02 9.562607e-18
15 -1.812447e-02 0.000000e+00 6.051526e-18
16 -2.768276e-02 1.242128e-02 9.562607e-18
17 -2.099068e-02 -4.477739e-03 4.354464e-18
18 -2.817106e-02 9.346184e-03 7.650826e-18
19 -3.206905e-02 -9.616098e-03 1.040846e-17
20 -2.445490e-02 -9.547296e-03 6.374224e-18
21 -2.830025e-02 -3.392761e-03 8.185221e-18
22 -2.448246e-02 3.678530e-03 5.905018e-18
23 -3.194211e-02 3.446432e-03 9.863427e-18
24 -3.205025e-02 9.662841e-03 9.693292e-18
25 -2.444791e-02 9.608672e-03 5.669801e-18
26 -3.311354e-02 -6.248477e-03 1.083834e-17
27 -2.320714e-02 -6.672297e-03 5.608364e-18
28 -2.818287e-02 -9.212783e-03 8.335962e-18
29 -2.642458e-02 -6.634199e-03 7.310619e-18
30 -2.451460e-02 -3.508189e-03 6.184928e-18
31 -3.012063e-02 -6.553689e-03 9.264745e-18
32 -3.195213e-02 -3.264892e-03 1.011423e-17
33 -2.246445e-02 5.600374e-05 4.968986e-18
34 -2.100548e-02 4.558657e-03 4.031752e-18
35 -2.321299e-02 6.779486e-03 5.119400e-18
36 -2.642163e-02 6.781101e-03 6.818327e-18
37 -3.392194e-02 6.500626e-05 1.103544e-17
38 -3.009966e-02 6.701377e-03 8.768773e-18
39 -3.304293e-02 6.307783e-03 1.034164e-17
40 -2.827797e-02 3.521545e-03 7.920499e-18
41 -3.019594e-02 8.265706e-05 9.061867e-18
42 -2.634449e-02 7.846999e-05 7.022660e-18
43 -3.475499e-02 -3.374459e-03 1.160236e-17
44 -3.473115e-02 3.455728e-03 1.133989e-17
1 102 1 2 
2 102 2 3 
3 102 3 4 
4 102 4 14 
5 102 14 5 
6 102 5 6 
7 102 6 7 
8 102 8 15 
9 102 15 7 
10 102 9 8 
11 102 10 9 
12 102 11 16 
13 102 16 10 
14 102 12 11 
15 102 13 12 
16 102 1 13 
17 203 39 13 24 
18 203 16 18 24 
19 203 24 12 11 
20 203 24 11 16 
21 203 18 16 25 
22 203 9 25 10 
23 203 10 25 16 
24 203 26 2 43 
25 203 3 2 19 
26 203 26 43 32 
27 203 26 19 2 
28 203 19 4 3 
29 203 17 15 7 
30 203 17 7 6 
31 203 27 6 20 
32 203 5 20 6 
33 203 14 20 5 
34 203 6 27 17 
35 203 19 28 14 
36 203 29 27 20 
37 203 14 4 19 
38 203 28 20 14 
39 203 30 17 27 
40 203 21 30 29 
41 203 27 29 30 
42 203 26 31 19 
43 203 32 21 31 
44 203 37 1 44 
45 203 31 26 32 
46 203 29 31 21 
47 203 28 19 31 
48 203 20 28 29 
49 203 31 29 28 
50 203 33 34 15 
51 203 17 33 15 
52 203 22 34 33 
53 203 8 15 34 
54 203 36 35 22 
55 203 18 25 36 
56 203 35 36 25 
57 203 34 22 35 
58 203 34 9 8 
59 203 35 25 9 
60 203 34 35 9 
61 203 39 44 13 
62 203 37 44 23 
63 203 1 37 43 
64 203 39 38 23 
65 203 24 18 38 
66 203 12 24 13 
67 203 38 39 24 
68 203 37 32 43 
69 203 1 13 44 
70 203 39 23 44 
71 203 36 38 18 
72 203 40 23 38 
73 203 22 40 36 
74 203 38 36 40 
75 203 41 37 23 
76 203 1 43 2 
77 203 21 32 41 
78 203 37 41 32 
79 203 33 42 22 
80 203 30 21 42 
81 203 17 30 33 
82 203 42 33 30 
83 203 41 42 21 
84 203 40 22 42 
85 203 23 40 41 
86 203 42 41 40 
